LOC_BLANK,LOC_CODE_AND_COMMENT,LOC_COMMENTS,DESIGN_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_PROG_TIME,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
7,0,9,14,120,49.72,7411.09,30,21,139,N
2,0,6,1,17,11.37,394.82,8,16,27,N
5,0,0,5,30,28.2,771.59,18,17,37,N
2,0,1,1,1,0,0,0,1,6,Y
6,0,8,3,25,36.64,791.62,25,17,39,Y
9,2,3,5,47,34.18,1569.59,24,20,63,N
7,0,0,4,40,37.61,1142.49,39,32,50,N
3,0,0,1,24,16.48,321.81,4,6,29,N
2,0,1,3,21,27.74,277.54,19,17,26,N
16,0,6,3,66,80.78,4799.38,64,23,88,N
14,0,5,2,50,27.85,2175.55,22,25,71,N
2,0,1,2,9,26.7,38.45,11,8,14,N
3,0,0,2,19,23.92,160.79,11,11,24,N
5,0,0,1,19,47.89,203.02,17,9,28,N
1,0,2,2,14,23.77,179.75,12,14,21,N
4,0,0,3,16,22.31,129.72,13,14,22,Y
3,1,0,1,11,21.21,75.4,12,12,17,N
1,1,0,1,3,23.66,19.88,9,7,8,N
9,1,0,13,158,79.47,9088.6,54,25,170,N
4,0,4,1,21,18.93,229.54,11,13,32,N
2,0,0,2,17,13.19,261.43,9,17,21,N
9,0,0,4,39,32.7,1416.82,21,17,50,Y
10,1,6,5,35,57.09,1426.99,33,14,54,N
2,0,0,1,13,13.72,94.67,7,12,19,N
3,0,0,1,14,17.87,167.74,7,7,19,N
0,0,0,1,2,16.6,14.76,7,8,4,N
2,0,0,2,10,25.72,107.32,12,13,14,N
6,0,0,1,10,31.87,76.58,13,9,18,N
1,0,0,4,10,21.28,170.27,13,12,13,N
6,0,0,6,27,20.43,1401.48,18,23,33,N
2,0,3,2,9,27.17,44.28,12,10,16,N
4,0,1,2,14,40.47,118.19,16,8,22,N
3,0,1,6,39,43.01,1357.37,36,22,45,N
7,2,7,3,26,28.02,1264.53,24,24,44,Y
1,0,0,2,9,35.77,90.56,16,9,12,N
1,0,0,3,10,15.5,61.31,8,9,13,Y
2,0,0,1,9,40.06,34.26,13,6,13,N
9,0,0,3,39,19.52,2123.05,12,18,50,N
1,0,1,2,17,37.73,404.32,18,10,21,N
5,0,0,2,25,47.67,241.29,22,10,32,N
2,0,2,2,22,33.43,181.36,17,12,29,N
5,2,7,52,234,82.19,58573.82,66,26,252,Y
0,0,0,1,9,16.34,11.76,5,6,11,N
21,0,13,5,73,55.34,3921.66,42,24,109,Y
1,1,0,2,35,39.05,1349.04,32,21,37,N
0,0,0,1,0,0,0,0,0,25,N
3,0,1,2,8,18.23,20.51,6,9,14,N
1,0,0,1,37,212.8,251.83,39,4,40,N
2,0,0,3,14,19.46,38.92,9,9,18,N
15,0,19,1,27,70.45,784.08,26,8,64,N
4,0,0,4,26,35.7,550.92,21,14,32,Y
0,0,4,1,3,10.8,6.67,3,5,11,N
19,1,10,5,90,104.15,3892.68,81,22,120,N
2,0,1,3,10,23,115.33,11,11,16,N
2,1,0,3,10,32.09,1782.94,16,23,15,N
4,1,0,1,8,37.84,83.45,15,9,15,N
1,0,0,1,4,8.3,16.61,4,6,7,N
0,0,0,1,3,10.53,4.16,3,4,6,N
0,0,0,1,2,16.35,18.39,8,9,4,N
3,0,4,3,12,12.39,261.7,8,13,24,N
0,0,0,1,3,24.38,8.46,7,5,6,N
5,0,0,5,32,30.96,939.66,24,22,40,Y
5,1,4,2,15,32.07,477.08,22,16,27,N
9,0,11,4,37,39.58,474.4,24,15,59,Y
2,0,4,7,17,11.38,4842.15,9,21,23,N
6,0,2,2,40,44.9,1622,26,17,51,N
17,3,14,30,314,78.81,118315.79,81,33,352,Y
4,0,0,1,8,37.1,181.16,16,10,14,Y
0,0,0,2,14,28.29,53.47,12,10,16,N
0,0,0,2,11,21.06,40.04,10,9,13,N
38,0,61,5,134,195.27,8573.33,98,19,238,N
6,0,6,4,33,51.74,1660.9,27,11,47,N
6,0,2,4,39,30.85,993.62,19,15,49,Y
2,0,1,1,3,12,4.17,3,5,8,N
5,0,1,2,10,14.93,56.46,8,11,22,N
4,0,2,2,10,27.85,40.1,11,7,18,N
