LOC_BLANK,LOC_CODE_AND_COMMENT,EDGE_COUNT,HALSTEAD_CONTENT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,Defective
8,0,7,26.31,0.09,22,13,N
0,0,11,25.87,0.27,11,10,N
1,0,22,15.61,0.25,20,18,N
6,2,13,22.11,0.12,25,15,N
19,2,36,41.25,0.07,119,64,N
24,0,45,52.55,0.21,95,70,N
14,0,249,58.42,0.3,174,152,N
7,7,69,34.15,0.29,55,35,N
18,0,46,88.97,0.12,81,47,N
1,0,10,6.38,0.33,9,7,N
2,0,9,13.12,0.23,13,10,N
8,2,18,32.24,0.21,33,24,N
7,0,5,11.15,0.15,13,5,N
32,3,74,52.36,0.14,145,83,N
5,6,58,46.98,0.36,45,39,N
12,0,12,44.56,0.11,36,23,Y
4,1,11,21.4,0.15,20,12,N
8,0,110,50.98,0.34,82,66,N
14,0,14,45.57,0.08,37,22,N
10,0,17,37.83,0.12,34,20,N
4,0,37,33.06,0.16,44,36,N
1,0,19,27.69,0.29,17,14,N
2,0,19,35.44,0.19,21,16,N
4,4,117,104.65,0.25,83,77,N
48,0,51,111.14,0.06,138,76,N
0,0,26,33.56,0.26,23,22,N
19,0,24,37.91,0.12,60,32,N
1,0,14,16.21,0.17,23,21,N
16,0,36,81.27,0.15,61,43,Y
2,0,15,14.24,0.25,16,13,N
3,0,21,15.17,0.33,15,11,N
2,0,30,36.07,0.32,22,19,N
39,2,98,85.6,0.08,254,152,Y
0,0,12,13.51,0.38,8,7,N
1,0,9,10.26,0.25,12,10,N
1,0,24,53.82,0.17,23,21,N
3,0,10,9.15,0.21,14,10,N
0,1,21,32.45,0.14,21,20,N
0,0,14,24.59,0.33,9,8,N
5,6,69,88.87,0.23,75,63,Y
2,0,31,9.47,0.47,19,16,N
1,0,25,18.18,0.24,25,23,N
2,0,14,10.4,0.33,12,9,N
4,0,6,33.42,0.08,25,13,N
8,0,21,19.37,0.26,27,16,N
1,1,39,31.94,0.43,23,21,N
2,0,7,15.57,0.17,12,9,N
1,0,5,14.51,0.22,9,7,N
5,0,39,27.22,0.38,26,20,N
18,2,35,58.14,0.11,141,122,N
9,1,16,26.56,0.09,43,22,N
4,2,13,32.54,0.15,26,14,Y
12,2,123,59.99,0.33,102,89,N
57,2,51,34.47,0.09,152,84,N
9,0,18,16.41,0.14,36,21,N
7,3,11,27.46,0.11,28,20,N
0,0,6,16.61,0.17,12,11,N
1,0,10,17.8,0.36,11,9,N
0,0,14,14.28,0.21,14,13,N
8,0,7,35.63,0.06,33,21,N
11,0,26,31.49,0.24,37,20,N
30,4,43,44.45,0.14,95,60,N
3,0,66,49.15,0.2,49,45,N
9,0,137,69.41,0.34,99,88,N
1,0,21,10.33,0.47,15,13,N
3,4,88,48.52,0.35,54,50,N
1,0,14,13.06,0.36,14,10,N
4,0,21,17.53,0.25,24,19,N
10,0,20,27.2,0.12,41,23,N
24,2,22,30.45,0.06,70,33,N
9,3,30,42.78,0.17,42,31,Y
13,4,150,118.25,0.29,124,88,N
0,0,10,12.61,0.6,5,4,N
12,3,63,46.29,0.26,57,42,N
8,0,9,32.14,0.12,25,16,Y
3,0,7,38.44,0.13,16,12,N
11,1,22,47.47,0.07,83,44,N
2,0,7,10.81,0.25,8,5,N
2,1,6,14.15,0.14,14,11,N
0,0,9,19.25,0.43,7,6,N
1,0,9,10.79,0.25,12,9,N
2,0,5,14.06,0.25,8,5,N
25,0,57,83.64,0.13,112,77,N
16,3,45,66.95,0.06,107,62,N
