LOC_BLANK,LOC_CODE_AND_COMMENT,HALSTEAD_CONTENT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,Defective
25,7,32.11,0.08,44,23,16,59,48.48,N
7,2,13.09,0.29,24,9,14,17,22.22,N
20,8,99.14,0.1,172,67,20,171,38,N
0,0,16.35,0.22,23,8,8,9,0,N
3,0,22.46,0.11,32,16,15,18,7.14,N
0,0,10.75,0.33,4,4,8,6,0,N
3,0,29.43,0.26,43,22,19,27,0,N
4,1,20.81,0.13,15,11,11,16,18.18,N
11,0,18.5,0.15,35,13,16,34,4.55,N
4,0,14.8,0.18,11,9,14,11,0,N
3,0,27.21,0.22,39,22,23,27,4.35,N
0,1,19.64,0.29,35,16,18,17,6.25,N
6,2,55.64,0.06,43,26,10,35,25,N
3,2,32.53,0.12,37,20,15,43,23.08,N
2,0,43.97,0.37,49,26,14,27,0,N
6,2,53.06,0.06,60,26,12,36,24.14,N
4,0,36.99,0.11,41,20,12,27,0,N
1,0,10.79,0.25,17,7,12,12,10,N
6,1,12.18,0.14,4,4,6,14,57.14,N
1,0,24.61,0.31,27,17,16,13,0,N
0,0,16.61,0.17,4,4,6,12,0,N
1,0,6.38,0.33,8,3,10,9,0,N
5,0,11.99,0.09,10,6,8,22,62.5,N
5,0,24.46,0.1,21,12,10,21,13.33,N
1,0,17.71,0.18,28,8,8,11,0,N
21,8,53.3,0.1,47,31,14,72,62,N
3,0,26.21,0.11,25,16,15,27,12.5,N
9,1,45.13,0.14,56,30,16,36,19.23,N
7,3,41.68,0.16,58,31,18,45,24.32,Y
7,0,39.13,0.06,40,23,16,33,12,Y
5,1,20.51,0.11,24,15,16,45,51.28,N
2,0,7.44,0.33,9,3,9,12,0,N
13,3,43.02,0.13,61,27,14,48,23.53,N
26,1,76.65,0.1,126,59,22,130,33.98,N
9,5,24.99,0.21,25,14,13,24,58.62,Y
8,1,85.6,0.09,144,50,15,47,13.16,Y
19,2,71.31,0.07,135,52,19,72,13.46,N
1,3,14.49,0.13,52,10,14,15,46.15,N
5,0,56.82,0.2,53,33,14,40,0,N
1,0,29.59,0.44,40,22,16,16,0,N
8,1,24.89,0.1,14,12,12,20,18.18,N
7,4,70.93,0.13,89,55,23,99,21.98,Y
1,1,31.94,0.43,55,23,17,23,4.76,N
33,12,48.11,0.1,53,36,22,102,51.47,N
16,0,129.4,0.27,512,83,18,216,0,N
24,7,68.9,0.06,53,38,14,81,57.14,N
4,1,30.24,0.14,28,17,16,64,12.12,N
14,1,107.8,0.02,185,72,18,106,43.96,Y
22,0,1349.98,0.03,2733,787,23,891,5.88,N
1,1,21.36,0.29,30,15,16,21,5.26,N
1,0,14.33,0.25,16,10,17,12,0,N
17,5,43.02,0.12,92,37,22,57,33.33,N
19,3,28.72,0.06,35,20,17,49,51.72,N
13,1,50.44,0.06,34,22,11,48,41.18,Y
1,0,18.89,0.3,10,8,9,10,0,N
20,6,55.87,0.12,73,36,16,65,45.45,N
10,4,46.65,0.25,66,27,14,56,30.56,N
5,0,17.97,0.11,6,6,7,18,41.67,N
0,0,14.33,0.11,10,7,11,18,52.94,N
0,0,13.02,0.5,28,8,11,10,11.11,N
2,0,18.37,0.42,31,15,20,19,0,N
6,0,57.32,0.06,53,26,10,35,23.81,N
13,0,49.13,0.05,76,25,13,62,25,N
14,6,58.69,0.12,55,34,14,52,48.65,N
0,0,20.76,0.13,27,11,10,15,0,N
3,0,14.09,0.12,18,8,12,17,7.69,N
3,1,22.92,0.08,26,13,11,24,35,N
16,0,59.59,0.1,110,41,17,68,19.61,N
31,3,69.45,0.17,119,54,21,121,32.58,N
1,0,42.5,0.24,60,26,14,21,0,N
6,0,28.99,0.1,16,13,9,20,61.54,N
6,0,33.54,0.11,36,18,13,28,0,N
9,2,31.34,0.12,31,18,12,34,41.67,N
26,1,86.32,0.17,143,81,33,151,5.65,Y
3,0,12.44,0.25,12,7,9,8,0,N
3,0,33.89,0.2,18,13,7,15,0,N
7,3,24.93,0.13,43,17,16,39,22.58,N
3,0,16.74,0.25,19,11,13,12,0,N
10,1,33.57,0.1,33,21,14,29,50,N
16,1,32.61,0.09,193,33,22,67,36,N
34,10,44.71,0.15,344,41,23,136,36.63,N
4,0,23.63,0.18,15,10,8,11,0,N
4,1,12.06,0.17,9,6,8,12,14.29,N
2,0,23.84,0.15,30,13,11,20,0,N
3,0,54.39,0.25,73,35,16,40,0,N
10,1,50.38,0.06,42,20,9,34,56.52,N
37,1,111.77,0.13,157,69,25,203,29.7,N
0,0,8.88,0.25,10,5,9,8,0,N
28,9,65.18,0.08,48,39,16,80,50.98,N
1,0,18.18,0.24,44,13,15,25,0,N
4,2,31.7,0.14,29,18,13,21,12.5,N
3,0,13.83,0.2,15,8,12,10,0,N
8,2,21.48,0.1,17,12,11,21,16.67,N
5,0,29.26,0.22,144,33,35,78,0,N
14,1,39.49,0.07,71,30,21,101,55.81,N
5,3,43.19,0.1,43,25,13,30,16.67,N
1,0,6.88,0.33,15,4,13,12,0,N
12,2,31.59,0.09,28,22,18,34,47.62,N
2,0,20.09,0.28,21,12,12,18,13.33,N
1,0,14.62,0.25,15,9,11,12,0,N
7,0,22.74,0.09,16,12,10,22,57.14,N
0,0,5.18,0.25,9,3,10,8,14.29,N
1,0,10.58,0.25,8,5,9,8,0,N
1,0,8.42,0.38,17,5,12,13,0,N
1,3,12.24,0.25,38,9,14,20,22.22,N
16,1,79.49,0.09,198,61,20,107,17.78,N
1,0,27.69,0.29,26,18,14,17,6.67,N
1,0,26.46,0.4,47,23,21,20,0,N
0,0,13.67,0.43,8,5,10,7,0,N
0,0,26.06,0.15,10,10,8,13,0,N
16,3,66.95,0.06,123,58,24,107,13.24,N
3,1,30.88,0.16,22,16,12,32,35.71,N
1,0,10.53,0.18,11,5,12,11,0,N
33,6,93.54,0.13,226,82,25,128,30.85,Y
8,1,17.75,0.13,18,10,11,24,60,N
2,0,15.57,0.17,12,8,10,12,0,N
0,0,11.91,0.33,7,6,9,6,0,N
15,4,45.88,0.09,34,28,15,44,35.71,N
3,1,12.86,0.17,19,9,14,18,28.57,N
18,0,16.54,0.16,17,11,16,32,0,N
11,6,31.15,0.05,49,20,14,60,45.83,N
0,0,18.6,0.18,13,9,9,11,0,N
1,0,12.16,0.33,8,5,7,9,0,N
1,4,40.18,0.26,284,62,50,106,4.81,N
13,1,64.34,0.13,122,46,18,71,31.58,N
0,0,17.66,0.33,23,10,10,9,0,N
0,0,8.41,0.25,9,4,9,8,0,N
0,0,13.04,0.27,27,8,11,15,0,N
12,2,21.78,0.1,75,18,18,31,11.11,Y
4,0,13.18,0.25,21,9,12,12,0,N
0,0,15.36,0.43,7,5,7,7,0,N
